name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197560,76115,197560,2929,2015-11-07 01:19:20+00:00,2026-08-25 00:14:09+00:00,Apache License 2.0
transformers,huggingface,Python,164403,34345,164403,2398,2018-10-29 13:56:00+00:00,2026-08-24 23:49:19+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89755,22063,89755,13,2021-03-03 01:34:05+00:00,2026-08-24 23:36:51+00:00,MIT License
funNLP,fighting41love,Python,82640,15278,82640,52,2018-08-21 11:20:39+00:00,2026-08-24 15:21:08+00:00,No License
awesome-machine-learning,josephmisiti,Python,74146,15621,74146,26,2014-07-15 19:11:19+00:00,2026-08-24 23:37:25+00:00,Other
scikit-learn,scikit-learn,Python,67057,27309,67057,2127,2010-08-17 09:43:38+00:00,2026-08-25 00:14:05+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43413,3579,43413,165,2018-12-19 08:24:04+00:00,2026-08-24 21:23:08+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36496,7463,36496,68,2021-01-02 12:08:37+00:00,2026-08-24 23:23:57+00:00,No License
C-Plus-Plus,TheAlgorithms,C++,34599,7854,34599,28,2016-07-16 10:19:45+00:00,2026-08-24 19:51:27+00:00,MIT License
netron,lutzroeder,JavaScript,33397,3177,33397,18,2010-12-26 12:53:43+00:00,2026-08-24 22:50:42+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32518,5432,32518,77,2017-02-05 12:11:23+00:00,2026-08-25 00:12:43+00:00,MIT License
applied-ml,eugeneyan,Unknown,30080,3991,30080,8,2020-07-04 18:57:47+00:00,2026-08-24 19:26:20+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28867,6147,28867,32,2016-10-09 21:20:25+00:00,2026-08-24 14:03:45+00:00,Creative Commons Attribution Share Alike 4.0 International
